#{"t_start": 1627262560.045237, "env_id": "SlimeVolley-v0"}
r,l,t
0,3000,1174.70323
-4,3000,1177.465952
-2,3000,1180.095486
-1,3000,1182.700733
-4,3000,1185.337109
-3,3000,1187.99995
-1,3000,1190.696158
-1,3000,1193.157499
-5,1845,1194.797908
-4,3000,1197.654752
-1,3000,1200.365852
0,3000,1203.031426
-2,3000,1205.693125
2,3000,1208.316121
1,3000,1210.905804
0,3000,1213.532256
0,3000,1216.239035
-2,3000,1218.896139
-1,3000,1221.558587
-1,3000,1224.199881
-2,3000,1226.572413
-1,3000,1229.195146
-2,3000,1231.793249
-1,3000,1234.429183
-4,3000,1237.127366
-2,3000,1239.81072
-2,3000,1242.435692
-4,2741,1244.992978
0,3000,1247.707412
-2,3000,1250.367003
-5,2376,1252.402978
0,3000,1255.120781
-1,3000,1257.814839
1,3000,1260.450543
-2,3000,1263.079995
-2,3000,1265.697436
-3,3000,1268.204634
-3,3000,1270.915164
-4,3000,1273.495047
0,3000,1276.239525
-1,3000,1279.051395
-2,3000,1281.673415
1,3000,1284.278422
0,3000,1286.878571
0,3000,1289.514249
-1,3000,1292.279083
0,3000,1294.978129
0,3000,1297.673695
0,3000,1300.466687
-3,3000,1303.157838
-2,3000,1305.707437
-1,3000,1308.484552
0,3000,1311.118
-1,3000,1313.770003
0,3000,1316.482054
-1,3000,1319.201958
-2,3000,1321.829616
-3,3000,1324.513414
-2,3000,1327.256743
-2,3000,1330.024361
0,3000,1332.678361
0,3000,1335.296126
-5,2284,1337.218786
0,3000,1339.829206
0,3000,1342.503776
-3,3000,1345.141866
0,3000,1347.911545
-1,3000,1350.529615
0,3000,1353.189657
-2,3000,1355.602813
-5,2986,1358.344747
-1,3000,1360.939239
-1,3000,1363.6085
-5,1645,1365.147487
-2,3000,1367.897547
-2,3000,1370.632241
-3,1541,1371.872046
-3,3000,1374.611828
0,3000,1377.586099
-3,3000,1380.453357
-2,3000,1383.096506
-5,2321,1385.274726
-4,3000,1387.862307
-1,3000,1390.483151
-1,3000,1393.117372
-2,3000,1395.810242
-1,3000,1398.442022
0,3000,1401.124946
0,3000,1403.805546
2,3000,1406.498177
0,3000,1409.119965
-2,3000,1411.558317
-2,3000,1414.12743
-4,3000,1416.804617
-1,3000,1419.624686
-1,3000,1422.227824
0,3000,1424.996635
0,3000,1427.719247
-2,3000,1430.488314
-1,3000,1433.147455
-2,3000,1435.817631
-4,3000,1438.562965
-1,3000,1441.428378
-4,3000,1444.202951
-3,3000,1446.906578
0,3000,1449.332318
-4,3000,1452.015334
-1,3000,1454.727035
0,3000,1457.404929
0,3000,1460.039805
-2,3000,1462.702907
0,3000,1465.329132
-4,3000,1468.04118
-3,3000,1470.676697
-3,3000,1473.42512
-3,3000,1476.126683
-1,3000,1478.737378
-2,3000,1481.338635
1,3000,1484.024526
-2,3000,1486.614489
-1,3000,1489.295377
1,3000,1491.894612
1,3000,1494.600836
0,3000,1497.246457
-1,3000,1500.038426
-1,3000,1502.767104
1,3000,1505.406217
-1,3000,1508.026283
-1,3000,1510.712912
-1,3000,1513.365913
-1,3000,1516.108485
0,3000,1518.819839
0,3000,1521.473996
-1,3000,1524.188901
0,3000,1526.567891
0,3000,1529.181547
0,3000,1532.107294
0,3000,1534.885042
-2,3000,1537.503141
-1,3000,1540.392195
-1,3000,1543.028613
-1,3000,1545.657647
-1,3000,1548.310488
1,3000,1550.982006
-2,3000,1553.627701
0,3000,1556.360141
0,3000,1559.086779
-3,3000,1561.819776
0,3000,1564.302823
-2,3000,1567.071418
-3,3000,1569.704126
-3,3000,1572.36856
-1,3000,1575.147449
-1,3000,1577.776969
0,3000,1580.599586
0,3000,1583.284155
-1,3000,1585.903849
-1,3000,1588.523091
-2,3000,1591.301739
-2,3000,1594.133916
-1,3000,1596.827836
0,3000,1599.522139
-2,3000,1602.108239
1,3000,1604.817346
0,3000,1607.673383
-1,3000,1610.336375
-1,3000,1612.99615
0,3000,1615.649838
0,3000,1618.27561
0,3000,1620.964584
0,3000,1623.620058
-2,3000,1626.391326
0,3000,1629.227751
-3,3000,1632.010447
0,3000,1634.683105
-2,3000,1637.314702
2,3000,1639.914802
-5,2865,1642.509929
-2,3000,1645.136575
-2,3000,1647.748327
0,3000,1650.369908
-1,3000,1653.072115
-4,3000,1655.735231
0,3000,1658.398306
1,3000,1661.113681
0,3000,1663.924958
-1,3000,1666.57676
-2,3000,1669.188257
-1,3000,1671.85173
-2,3000,1674.433146
0,3000,1677.087606
-3,3000,1679.757134
-1,3000,1682.461689
-2,3000,1685.288936
-1,3000,1688.113184
0,3000,1690.914147
1,3000,1693.605911
-1,3000,1696.274777
-2,3000,1698.946056
-3,3000,1701.659157
-3,3000,1704.545542
-1,3000,1707.311473
-2,3000,1709.969147
0,3000,1712.468111
-4,3000,1715.093102
-2,3000,1717.78481
-1,3000,1720.479149
-2,3000,1723.373922
-1,3000,1726.086388
-2,3000,1728.644986
0,3000,1731.289169
-2,3000,1733.948264
-2,3000,1736.563569
0,3000,1739.267745
-3,3000,1741.929947
-2,3000,1744.556172
0,3000,1747.300673
-3,3000,1749.690034
-4,3000,1752.431131
0,3000,1755.120046
-2,3000,1757.766088
-4,3000,1760.359376
0,3000,1762.975549
-1,3000,1765.602531
-1,3000,1768.238837
-5,1870,1769.916173
-3,3000,1772.643065
-5,2710,1774.911074
-2,3000,1777.607417
-1,3000,1780.304304
-3,3000,1782.947482
-2,3000,1785.582867
-2,3000,1788.362817
-1,3000,1791.06462
-4,3000,1793.762031
0,3000,1796.50628
-4,3000,1799.161023
-1,3000,1802.227664
-1,3000,1804.984444
-3,3000,1807.87843
0,3000,1810.333887
-3,3000,1813.003287
-3,3000,1815.906886
-5,2389,1818.324382
-4,3000,1821.105467
-2,3000,1823.695024
-4,3000,1826.177794
-1,3000,1828.740297
0,3000,1831.393896
0,3000,1834.079033
-1,3000,1836.757261
-4,3000,1839.457629
-1,3000,1842.049863
-1,3000,1844.635716
-2,3000,1847.233599
-3,3000,1849.862902
-1,3000,1852.491254
-5,2653,1854.664017
-2,3000,1857.248096
-2,3000,1859.895674
0,3000,1862.674643
-1,3000,1865.479528
-1,3000,1868.152615
-1,3000,1870.748017
0,3000,1873.591258
-2,3000,1876.16244
-2,3000,1878.767856
-1,3000,1881.353186
-3,3000,1884.118794
-1,3000,1886.612906
-4,3000,1889.25466
-3,3000,1891.903216
-4,3000,1894.518355
-3,3000,1897.247902
-2,3000,1900.08287
-1,3000,1902.803409
-3,3000,1905.392941
-3,3000,1907.989255
-1,3000,1910.554724
-3,3000,1913.350603
-1,3000,1916.004941
-2,3000,1918.78181
0,3000,1921.368649
0,3000,1923.995087
0,3000,1926.418353
-3,3000,1929.055061
-1,3000,1931.680804
-3,3000,1934.268687
-4,2800,1936.883853
-5,1833,1938.498053
-2,3000,1941.182574
-2,3000,1943.776059
-4,3000,1946.563173
-4,3000,1949.039654
-4,2943,1951.678629
-5,2406,1953.952528
-4,3000,1956.581499
-1,3000,1959.215545
-5,2556,1961.307623
-1,3000,1963.929551
-1,3000,1966.625153
-4,3000,1969.227104
0,3000,1971.857186
0,3000,1974.565586
-2,3000,1977.198673
-3,3000,1979.825083
0,3000,1982.204314
-1,3000,1984.774148
2,3000,1987.46076
-1,3000,1990.290983
-1,3000,1992.912446
0,3000,1995.503427
0,3000,1998.100462
-2,3000,2000.793912
1,3000,2003.511786
1,3000,2006.176978
0,3000,2008.872052
-2,3000,2011.539956
-4,3000,2014.164109
-1,3000,2016.868541
0,3000,2019.350911
-1,3000,2022.098086
-1,3000,2024.731839
0,3000,2027.509153
-1,3000,2030.239215
-2,3000,2032.898058
-1,3000,2035.511099
0,3000,2038.368332
0,3000,2040.968997
-2,3000,2043.648702
-2,3000,2046.278318
0,3000,2049.210294
0,3000,2051.824019
0,3000,2054.462266
0,3000,2057.234069
-1,3000,2059.813097
1,3000,2062.427669
0,3000,2065.095184
2,3000,2067.77471
-2,3000,2070.37324
-1,3000,2072.983132
-1,3000,2075.70122
0,3000,2078.26878
-1,3000,2081.004249
0,3000,2083.898496
1,3000,2086.560792
-2,3000,2089.235316
0,3000,2091.874934
0,3000,2094.527083
-3,3000,2096.98853
0,3000,2099.647941
-1,3000,2102.251898
1,3000,2104.839042
0,3000,2107.603719
-2,3000,2110.213107
0,3000,2113.023752
0,3000,2115.883127
-1,3000,2118.636173
1,3000,2121.272863
-2,3000,2123.928735
-1,3000,2126.578969
-3,3000,2129.206394
-5,2629,2131.36749
0,3000,2133.941648
0,3000,2136.645681
-3,3000,2139.243762
-5,1286,2140.313924
-4,3000,2142.902569
1,3000,2145.522841
0,3000,2148.272415
-4,3000,2150.912115
-2,3000,2153.576197
-2,3000,2156.297718
-1,3000,2158.99496
0,3000,2161.748902
-1,3000,2164.409257
1,3000,2167.100804
-1,3000,2169.504413
-1,3000,2172.083034
-1,3000,2174.745101
0,3000,2177.398748
-1,3000,2180.006178
1,3000,2182.647691
0,3000,2185.301426
-1,3000,2187.93129
-2,3000,2190.548356
0,3000,2193.193016
0,3000,2195.851712
0,3000,2198.459697
0,3000,2201.299425
0,3000,2203.903176
1,3000,2206.301435
0,3000,2208.943394
0,3000,2211.562607
-1,3000,2214.188939
1,3000,2216.89963
-1,3000,2221.451504
-1,3000,2225.727958
0,3000,2228.530801
0,3000,2231.670114
-1,3000,2234.328034
0,3000,2237.203713
1,3000,2240.090776
1,3000,2242.968287
-1,3000,2245.641757
-1,3000,2248.113856
-3,3000,2250.756863
1,3000,2253.328763
0,3000,2255.967372
-1,3000,2258.579608
2,3000,2261.239789
1,3000,2263.863588
-1,3000,2266.543603
-2,3000,2269.392303
-2,3000,2272.056555
-3,3000,2274.77503
-1,3000,2277.448338
0,3000,2280.199584
0,3000,2282.925267
0,3000,2285.947304
-3,3000,2288.471818
-1,3000,2291.239792
0,3000,2293.913897
0,3000,2296.573404
-1,3000,2299.239469
0,3000,2301.980202
0,3000,2304.734034
-1,3000,2307.417021
-2,3000,2310.051724
-1,3000,2312.788593
0,3000,2315.525615
-1,3000,2318.205602
-2,3000,2320.963055
-1,3000,2323.707849
0,3000,2326.231975
-2,3000,2328.964195
0,3000,2331.636601
0,3000,2334.272488
0,3000,2336.933878
1,3000,2339.85394
1,3000,2342.532324
1,3000,2345.244399
1,3000,2347.829533
1,3000,2350.464264
-1,3000,2353.14586
0,3000,2356.043053
-1,3000,2358.729218
-1,3000,2361.406467
0,3000,2363.793183
-3,3000,2366.426885
-1,3000,2369.036868
0,3000,2371.834741
-2,3000,2374.608765
1,3000,2377.762247
0,3000,2380.800193
0,3000,2383.487876
-2,3000,2386.411752
-1,3000,2389.10855
0,3000,2391.770078
1,3000,2394.475131
-3,3000,2397.207312
-1,3000,2400.192355
1,3000,2402.764721
0,3000,2405.669198
-1,3000,2408.485211
-1,3000,2411.37375
-2,3000,2414.299572
-2,3000,2418.113795
-2,3000,2421.70824
-1,3000,2425.556108
-1,3000,2429.100768
-1,3000,2431.86611
-2,3000,2434.748434
0,3000,2437.615998
-1,3000,2440.509385
0,3000,2443.781373
-1,3000,2447.00172
-2,3000,2450.753482
-4,2926,2454.444431
-4,3000,2458.006485
-4,3000,2461.544879
-4,3000,2464.222703
-1,3000,2467.074204
-4,3000,2470.121637
-1,3000,2473.23128
-2,3000,2475.93435
-3,3000,2478.853575
-1,3000,2482.0138
-1,3000,2485.409527
0,3000,2488.832778
-1,3000,2491.501044
-1,3000,2494.22941
0,3000,2496.957718
-2,3000,2499.748294
-1,3000,2502.428402
-2,3000,2505.27604
1,3000,2508.006348
0,3000,2510.686718
0,3000,2513.386274
-2,3000,2516.038051
0,3000,2518.732021
-2,3000,2521.367116
-1,3000,2523.996086
-1,3000,2526.662956
-1,3000,2529.136493
0,3000,2531.755607
-1,3000,2534.454339
-5,1908,2536.142803
0,3000,2538.993748
0,3000,2541.686168
0,3000,2544.392964
1,3000,2547.043011
0,3000,2549.705971
0,3000,2552.317511
1,3000,2555.055951
-1,3000,2557.732085
0,3000,2560.406216
0,3000,2562.866592
-2,3000,2565.561004
-1,3000,2568.182224
1,3000,2570.807644
-1,3000,2573.468911
0,3000,2576.230527
-1,3000,2578.882664
0,3000,2581.617418
2,3000,2584.330973
0,3000,2586.9714
-3,3000,2589.771899
2,3000,2592.870042
-1,3000,2595.643973
1,3000,2598.395243
-1,3000,2600.916098
1,3000,2603.66125
0,3000,2606.536597
-2,3000,2609.444462
1,3000,2612.21483
2,3000,2615.048837
0,3000,2617.896853
-2,3000,2620.557024
1,3000,2623.276127
1,3000,2625.989341
-1,3000,2628.725955
-1,3000,2631.43418
1,3000,2634.159076
-1,3000,2636.878201
-1,3000,2639.578032
-2,3000,2642.123742
-1,3000,2644.822455
4,3000,2647.455384
0,3000,2650.256692
0,3000,2652.931073
0,3000,2655.816757
-1,3000,2658.570275
1,3000,2661.383026
-1,3000,2664.106425
-1,3000,2666.75938
0,3000,2669.472056
0,3000,2672.164373
1,3000,2675.117197
-1,3000,2678.013519
0,3000,2680.494812
0,3000,2683.146406
0,3000,2685.914013
0,3000,2688.626241
2,3000,2691.287048
1,3000,2694.110428
-1,3000,2697.006767
0,3000,2699.764477
0,3000,2702.54774
-1,3000,2705.246585
-1,3000,2707.950708
0,3000,2710.631483
-2,3000,2713.529026
1,3000,2716.308932
0,3000,2718.902484
0,3000,2721.660653
0,3000,2724.380838
-1,3000,2727.072343
-3,3000,2729.676396
0,3000,2732.462575
1,3000,2735.20315
0,3000,2737.843164
-1,3000,2740.559016
-1,3000,2743.17011
-3,3000,2745.8066
-1,3000,2748.452824
-1,3000,2751.158664
-1,3000,2753.789199
-2,3000,2756.191757
-1,3000,2758.782945
-1,3000,2761.441683
-1,3000,2764.10681
-2,3000,2766.997907
-2,3000,2769.931372
-2,3000,2772.572751
-1,3000,2775.286659
-3,3000,2778.014918
-2,3000,2780.771609
-1,3000,2783.424856
-3,3000,2786.113938
-1,3000,2788.815495
-1,3000,2791.5556
-1,3000,2794.035877
-2,3000,2796.698376
-1,3000,2799.359785
-3,3000,2802.106568
-1,3000,2804.848269
-1,3000,2807.615053
-2,3000,2810.271458
0,3000,2813.035244
0,3000,2815.737626
-1,3000,2818.437576
2,3000,2821.170448
-2,3000,2823.867428
0,3000,2826.516271
-2,3000,2829.187405
0,3000,2831.911886
-2,3000,2834.566796
0,3000,2837.229089
1,3000,2839.88129
-1,3000,2842.548847
-5,2774,2845.044967
-2,3000,2847.721853
-1,3000,2850.416322
-1,3000,2853.099863
-1,3000,2855.806937
-1,3000,2858.445984
0,3000,2861.263201
-1,3000,2863.846385
0,3000,2866.608562
-2,3000,2869.419397
0,3000,2872.135602
-2,3000,2874.975067
1,3000,2877.884149
-1,3000,2880.601319
0,3000,2883.222431
-1,3000,2885.936577
0,3000,2888.713305
1,3000,2891.36544
-1,3000,2894.037803
1,3000,2896.757456
2,3000,2899.41041
-2,3000,2901.804184
1,3000,2904.501089
-1,3000,2907.174614
0,3000,2909.815682
0,3000,2912.498977
0,3000,2915.115208
0,3000,2917.948994
0,3000,2920.645115
1,3000,2923.514543
0,3000,2926.179376
0,3000,2928.873137
-2,3000,2931.60375
-1,3000,2934.383918
-3,3000,2937.17818
1,3000,2939.576038
-2,3000,2942.262603
0,3000,2944.872323
1,3000,2947.581214
-2,3000,2950.392891
-1,3000,2953.115011
-1,3000,2955.780986
0,3000,2958.406726
0,3000,2961.288527
0,3000,2963.997084
-1,3000,2966.670311
0,3000,2969.419874
-2,3000,2972.045224
3,3000,2974.708559
1,3000,2977.093123
0,3000,2979.87132
2,3000,2982.63485
-1,3000,2985.557899
-3,3000,2988.232506
-1,3000,2990.865659
1,3000,2993.507635
0,3000,2996.161898
-3,3000,2998.947962
-1,3000,3001.708716
-3,3000,3004.579746
-5,2757,3007.498897
-5,1659,3009.328461
-1,3000,3012.411306
-5,1810,3014.076611
-3,3000,3016.872711
-2,3000,3019.648572
-5,2332,3021.711726
-2,3000,3024.898125
-5,2619,3027.422623
-2,3000,3030.13702
-1,3000,3032.959074
0,3000,3035.660733
1,3000,3038.261036
-1,3000,3040.927187
1,3000,3043.497884
-1,3000,3046.340827
0,3000,3049.021811
0,3000,3052.011125
0,3000,3054.756373
-2,3000,3057.465856
0,3000,3060.400801
-1,3000,3063.17566
0,3000,3065.569341
-3,3000,3068.291296
0,3000,3071.067418
-1,3000,3073.761175
-1,3000,3076.479562
0,3000,3079.199113
0,3000,3081.802754
-2,3000,3084.483436
0,3000,3087.16424
-2,3000,3089.857785
0,3000,3092.479867
-1,3000,3095.719179
-2,3000,3098.777109
-4,3000,3101.600577
0,3000,3104.259118
-2,3000,3106.979876
-1,3000,3109.666008
1,3000,3112.36461
0,3000,3115.035726
-1,3000,3117.687865
-1,3000,3120.326653
-1,3000,3123.21314
1,3000,3125.883477
-1,3000,3128.663211
0,3000,3131.380253
0,3000,3134.037098
-1,3000,3136.728714
0,3000,3139.359532
-1,3000,3142.008568
0,3000,3144.650446
1,3000,3147.313158
1,3000,3149.964457
1,3000,3152.734187
-1,3000,3155.499307
0,3000,3158.177541
1,3000,3160.845074
-1,3000,3163.478848
0,3000,3166.101748
0,3000,3168.872402
-3,3000,3171.528708
-1,3000,3174.280223
0,3000,3176.923622
0,3000,3179.308644
-3,3000,3182.031794
2,3000,3184.724326
-1,3000,3187.620737
0,3000,3190.261709
0,3000,3192.869159
-2,3000,3195.632341
-2,3000,3198.457578
-3,3000,3201.286167
-1,3000,3203.997021
0,3000,3206.681432
0,3000,3209.35055
0,3000,3212.138649
0,3000,3214.869261
0,3000,3217.477722
1,3000,3220.037877
0,3000,3222.794572
-1,3000,3225.451003
0,3000,3228.177221
0,3000,3231.062571
0,3000,3233.845024
0,3000,3236.707694
-1,3000,3239.523433
0,3000,3242.189444
1,3000,3244.820394
0,3000,3247.475766
0,3000,3250.09308
2,3000,3252.766448
-1,3000,3255.449894
0,3000,3257.907088
0,3000,3260.550606
-1,3000,3263.340018
-1,3000,3266.018627
2,3000,3268.662334
-3,3000,3271.381531
-1,3000,3274.061322
-1,3000,3276.698072
1,3000,3279.355002
-1,3000,3282.028676
-1,3000,3284.74257
0,3000,3287.429256
2,3000,3290.079388
-1,3000,3292.755799
0,3000,3295.240715
0,3000,3297.975829
-3,3000,3300.768196
0,3000,3304.205729
-3,3000,3307.013716
-2,3000,3310.348778
-4,2936,3313.33508
-5,1835,3314.93744
-2,3000,3317.558408
-4,3000,3320.107807
-3,3000,3322.608739
0,3000,3324.904941
-5,1646,3326.34603
1,3000,3328.822844
-1,3000,3331.365263
-1,3000,3333.884723
-2,3000,3336.423617
-1,3000,3338.899049
-2,3000,3341.464862
1,3000,3344.012647
-1,3000,3346.656082
0,3000,3348.963892
0,3000,3351.491275
0,3000,3354.085085
-2,3000,3356.61272
-2,3000,3359.143764
-4,3000,3361.679899
0,3000,3364.185913
0,3000,3366.679024
-1,3000,3369.114907
0,3000,3371.574823
-1,3000,3374.106695
-1,3000,3376.645822
0,3000,3379.18918
-1,3000,3381.785171
1,3000,3384.094667
1,3000,3386.60881
0,3000,3389.152643
-1,3000,3391.768965
1,3000,3394.360525
0,3000,3396.860141
-1,3000,3399.36521
-1,3000,3401.984866
-2,3000,3404.456235
0,3000,3406.990431
0,3000,3409.491021
0,3000,3412.050386
0,3000,3414.567953
0,3000,3417.062247
0,3000,3419.394666
-1,3000,3421.827725
-1,3000,3424.31404
-1,3000,3426.82688
-1,3000,3429.411555
-1,3000,3431.933813
0,3000,3434.505104
-2,3000,3436.953908
-3,3000,3439.487014
0,3000,3442.045513
-1,3000,3444.561329
-2,3000,3447.116785
0,3000,3449.564426
0,3000,3452.095497
0,3000,3454.569353
-1,3000,3456.916783
0,3000,3459.393464
0,3000,3461.927346
-1,3000,3464.426063
0,3000,3466.93363
-1,3000,3469.465321
0,3000,3471.980385
-1,3000,3474.475591
0,3000,3477.070232
0,3000,3479.587632
-1,3000,3482.256102
0,3000,3484.740245
1,3000,3487.255476
0,3000,3489.726544
0,3000,3492.015915
0,3000,3494.534222
0,3000,3497.190149
0,3000,3499.694795
0,3000,3502.208115
0,3000,3504.694414
0,3000,3507.220404
0,3000,3509.670649
1,3000,3512.15141
1,3000,3514.710289
1,3000,3517.22773
0,3000,3519.759601
-1,3000,3522.366436
0,3000,3524.881799
-1,3000,3527.113066
0,3000,3529.603826
0,3000,3532.212534
0,3000,3534.811242
0,3000,3537.265692
-2,3000,3539.72966
-2,3000,3542.226013
0,3000,3544.802087
-3,3000,3547.360335
-2,3000,3549.86289
-2,3000,3552.527324
0,3000,3555.03342
-1,3000,3557.62691
-1,3000,3560.183683
-1,3000,3562.469866
-1,3000,3565.104739
-1,3000,3567.67778
2,3000,3570.179818
-2,3000,3572.680492
-2,3000,3575.220599
-1,3000,3577.698949
0,3000,3580.173644
-4,3000,3582.680918
-2,3000,3585.117502
1,3000,3587.545649
0,3000,3590.018865
-1,3000,3592.500063
0,3000,3595.021644
-2,3000,3597.58793
-1,3000,3599.801952
-3,3000,3602.416695
-4,3000,3605.122363
-1,3000,3607.811769
0,3000,3610.306826
1,3000,3612.779696
0,3000,3615.344728
1,3000,3617.816227
0,3000,3620.374964
0,3000,3622.946178
-1,3000,3625.406174
-1,3000,3627.911036
-2,3000,3630.461105
-1,3000,3633.111179
0,3000,3635.430723
0,3000,3637.907808
0,3000,3640.461907
-2,3000,3643.009865
-2,3000,3645.55354
0,3000,3648.143617
-1,3000,3650.686652
0,3000,3653.223256
0,3000,3655.755826
-2,3000,3658.302532
-1,3000,3660.822653
-1,3000,3663.301847
-1,3000,3665.868276
-2,3000,3668.407404
0,3000,3670.637714
-2,3000,3673.255512
0,3000,3675.743967
-2,3000,3678.195383
-3,3000,3680.739355
0,3000,3683.236706
0,3000,3685.776266
-1,3000,3688.311954
0,3000,3690.786477
-1,3000,3693.356818
0,3000,3695.912024
0,3000,3698.647308
0,3000,3701.239899
0,3000,3703.803437
0,3000,3706.133886
-1,3000,3708.661293
0,3000,3711.215772
1,3000,3713.732913
-2,3000,3716.270055
-2,3000,3718.831746
-1,3000,3721.41052
-1,3000,3723.990433
-4,3000,3726.419577
1,3000,3728.941198
0,3000,3731.571712
-1,3000,3734.077361
-3,3000,3736.529792
-1,3000,3739.176843
1,3000,3741.403212
0,3000,3743.882951
-2,3000,3746.383839
-4,3000,3748.84778
0,3000,3751.296531
-4,3000,3754.128731
1,3000,3757.057769
-5,2923,3759.55334
-2,3000,3762.412723
-2,3000,3765.294411
0,3000,3768.426323
-1,3000,3771.244745
-1,3000,3773.726345
0,3000,3776.420711
-1,3000,3778.692528
-2,3000,3781.32675
-2,3000,3784.235792
1,3000,3787.159641
-1,3000,3790.241517
-2,3000,3793.262573
0,3000,3796.161705
0,3000,3798.845074
-1,3000,3801.622717
-3,3000,3804.395427
-1,3000,3806.926161
1,3000,3809.445994
0,3000,3811.964125
0,3000,3814.483093
1,3000,3817.032675
0,3000,3821.218352
2,3000,3823.964928
0,3000,3827.172541
0,3000,3830.245449
0,3000,3832.982324
-2,3000,3835.658291
0,3000,3838.301582
-2,3000,3840.953498
-1,3000,3843.653416
0,3000,3846.450493
1,3000,3849.201797
0,3000,3852.013034
0,3000,3854.854958
-1,3000,3857.541867
-1,3000,3860.24257
0,3000,3863.019445
-1,3000,3865.723264
0,3000,3868.697708
1,3000,3871.719118
0,3000,3874.451921
1,3000,3877.056237
-1,3000,3879.710415
1,3000,3882.599328
0,3000,3885.396689
0,3000,3888.071284
0,3000,3890.672099
0,3000,3893.590669
0,3000,3896.116112
0,3000,3898.863667
0,3000,3901.46275
-1,3000,3904.079247
0,3000,3906.734491
0,3000,3909.35067
0,3000,3912.050435
1,3000,3914.821229
0,3000,3917.587965
0,3000,3920.262182
1,3000,3922.902755
0,3000,3925.557188
1,3000,3929.102847
1,3000,3932.675219
-1,3000,3935.667162
0,3000,3938.599045
0,3000,3941.822061
0,3000,3944.579947
-1,3000,3947.38344
0,3000,3950.375916
1,3000,3953.113517
0,3000,3956.118899
-1,3000,3958.867466
2,3000,3961.616359
0,3000,3964.495123
0,3000,3967.307818
2,3000,3970.192867
0,3000,3973.097881
-1,3000,3975.902922
2,3000,3978.415831
-1,3000,3981.213798
0,3000,3984.007359
-1,3000,3986.921915
0,3000,3989.811888
0,3000,3992.549734
-3,3000,3995.390326
0,3000,3998.103444
-1,3000,4000.848509
0,3000,4003.702646
0,3000,4006.678806
-2,3000,4009.776775
-2,3000,4013.008133
0,3000,4016.105628
0,3000,4019.021763
-1,3000,4022.07356
0,3000,4024.977254
-1,3000,4028.125408
1,3000,4030.954451
0,3000,4033.788659
1,3000,4037.427847
-1,3000,4040.623274
0,3000,4043.39246
1,3000,4045.981977
0,3000,4048.875191
0,3000,4053.93386
0,3000,4056.6814
1,3000,4060.011816
0,3000,4063.454565
0,3000,4066.752424
0,3000,4069.908069
-1,3000,4072.950977
0,3000,4075.586957
-1,3000,4078.338897
1,3000,4081.130287
0,3000,4085.339953
-2,3000,4088.529548
-1,3000,4091.951917
-1,3000,4094.927915
0,3000,4098.297046
0,3000,4101.693892
-1,3000,4105.565709
-1,3000,4108.842084
0,3000,4112.186363
0,3000,4115.716152
0,3000,4119.12938
-1,3000,4121.997572
-1,3000,4124.987752
0,3000,4127.761612
-1,3000,4130.733698
0,3000,4133.471646
0,3000,4136.397819
0,3000,4139.225705
1,3000,4142.074713
0,3000,4144.841272
2,3000,4148.039613
1,3000,4151.123843
-1,3000,4153.723203
-5,2766,4156.280436
-2,3000,4159.597184
0,3000,4162.581478
1,3000,4165.870238
-2,3000,4168.983289
0,3000,4171.991114
-1,3000,4174.803339
-1,3000,4177.751552
-1,3000,4180.655148
0,3000,4183.565828
0,3000,4186.301483
-2,3000,4189.096309
-1,3000,4191.86241
0,3000,4194.743809
-1,3000,4197.69711
0,3000,4200.82735
-2,3000,4203.79314
-1,3000,4206.613883
0,3000,4209.502782
-1,3000,4212.305417
0,3000,4215.142833
-1,3000,4217.963888
0,3000,4221.149873
-1,3000,4224.060684
0,3000,4226.782016
0,3000,4229.781435
-1,3000,4232.654599
1,3000,4235.448325
0,3000,4238.21693
-3,3000,4241.236874
0,3000,4244.074243
1,3000,4247.135029
0,3000,4250.194263
-2,3000,4253.043672
0,3000,4255.92242
-1,3000,4258.971463
0,3000,4262.035746
0,3000,4264.763701
0,3000,4267.312391
0,3000,4270.93447
0,3000,4273.878263
1,3000,4276.517877
0,3000,4279.120195
0,3000,4281.731223
0,3000,4284.387764
0,3000,4287.231103
0,3000,4290.241569
0,3000,4293.095942
-1,3000,4295.575008
-1,3000,4298.170682
0,3000,4301.369136
0,3000,4304.466182
1,3000,4307.671785
1,3000,4310.634112
-1,3000,4313.495965
0,3000,4316.69905
-1,3000,4319.866675
0,3000,4323.038559
-1,3000,4325.900588
-1,3000,4328.704689
2,3000,4331.703773
-1,3000,4334.564864
2,3000,4337.304463
1,3000,4339.877447
0,3000,4342.659039
-1,3000,4345.675739
1,3000,4348.10594
0,3000,4350.834677
0,3000,4353.559534
0,3000,4356.403327
0,3000,4359.192046
-1,3000,4362.233966
0,3000,4365.008046
-1,3000,4367.858611
0,3000,4370.765299
-1,3000,4373.609307
0,3000,4376.122479
1,3000,4378.674837
1,3000,4381.427769
-2,3000,4384.438672
-1,3000,4387.158408
-4,3000,4389.682225
-1,3000,4392.522509
0,3000,4395.331955
1,3000,4398.08597
-1,3000,4401.038234
-1,3000,4404.010156
0,3000,4406.695741
1,3000,4409.581855
0,3000,4412.623449
1,3000,4415.364491
0,3000,4418.041643
-3,3000,4420.833348
-1,3000,4423.665569
0,3000,4426.46136
0,3000,4429.026102
-1,3000,4431.779125
0,3000,4434.644619
0,3000,4437.323265
1,3000,4440.293481
0,3000,4443.018538
-1,3000,4446.02256
